,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
AR,21.295012,6.0,21.295012,85.54763,62.129096999999994,1.0
TP53,8.308258,20.0,8.308258,33.34494,21.57687,1.0
PTEN,4.5553784,10.0,4.5553784,18.259535,12.087511,1.0
RB1,1.5300581,4.0,1.5300581,6.098692,4.110652399999999,1.0
MUC16,1.3434423,5.0,1.3434423,5.348554599999999,3.4011397000000003,1.0
TBP,1.1790041999999998,19.0,1.1790041999999998,4.6875644,0.6937308000000001,1.0
MDM4,1.1743983,5.0,1.1743983,4.66905,2.9022097999999996,1.0
FGFR1,1.0034833,8.0,1.0034833,3.9820256,1.9215987,1.0
COL1A2,0.9352931999999999,3.0,0.9352931999999999,3.7079226999999997,2.5139343999999997,1.0
ASH2L,0.8894116,4.0,0.8894116,3.523493,2.2197964,1.0
