,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
RHO GTPases activate PKNs,4.729838,2.0,4.729838,11.961139999999999,8.944319,3.0
Transcriptional regulation by RUNX2,4.629201999999999,5.0,4.629201999999999,11.703503999999999,6.966686200000001,3.0
Transcriptional Regulation by TP53,4.268578,6.0,4.268578,10.78028,5.693304,3.0
SUMO E3 ligases SUMOylate target proteins,3.9440087999999998,12.0,0.32866740000000005,0.6938184000000001,1.5065194,3.0
PTEN Regulation,2.4168722999999996,5.0,2.4168722999999996,6.039777,2.8124838,3.0
G2/M Transition,1.9149943999999999,9.0,0.21277715,0.39713082,0.5148010000000001,3.0
HIV Life Cycle,0.7476588000000001,3.0,0.7476588000000001,1.7664672,0.8705589,3.0
Cap-dependent Translation Initiation,0.689411,7.0,0.689411,1.6173486000000001,1.6236993,3.0
G alpha (s) signalling events,0.6384623,2.0,0.6384623,1.4869162,1.2617361999999999,3.0
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.63735133,2.0,0.63735133,1.4840721000000001,1.25965,3.0
